City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,taltal,-25.4,-70.4833,17.75,79,34,1.35,CL,1682402089
336,nantucket,41.2835,-70.0995,9.03,100,100,2.57,US,1682401833
337,camabatela,-8.1881,15.375,18.03,96,96,1.72,AO,1682402089
338,kudahuvadhoo,2.6708,72.8944,28.7,75,100,4.6,MV,1682402089
339,freetown,8.484,-13.2299,25.84,83,75,4.63,SL,1682402089
340,yendi,9.4427,-0.0099,26.25,68,62,2.09,GH,1682402090
341,rikaze,29.25,88.8833,9.46,20,70,0.34,CN,1682402090
342,huanan,46.2167,130.5167,14.5,32,100,5.46,CN,1682402090
343,abepura,-2.6333,140.5833,31.45,62,20,1.54,ID,1682402090
344,san julian,21.0167,-102.1667,16.75,18,100,3.43,MX,1682402090
345,dwarka,22.2394,68.9678,30.31,51,100,3.59,IN,1682402091
346,isla vista,34.4133,-119.861,15.75,79,0,3.09,US,1682402091
347,trujillo,-8.116,-79.03,24.98,83,96,1.54,PE,1682402091
348,kemalpasa,38.4262,27.4173,11.32,54,70,2.22,TR,1682402092
349,huarmey,-10.0681,-78.1522,24.24,82,77,2.99,PE,1682402092
350,alcacer do sal,38.3733,-8.5144,11.18,93,59,1.72,PT,1682402092
351,kill devil hills,36.0307,-75.676,13.32,68,0,1.54,US,1682402092
352,neryungri,56.6709,124.6491,-1.36,59,100,4.83,RU,1682402092
353,coquimbo,-29.9533,-71.3436,12.85,94,0,4.12,CL,1682402092
354,gornopravdinsk,60.05,69.9,4.14,62,96,4.23,RU,1682402093
355,bam,29.106,58.357,27.71,18,54,3.4,IR,1682402093
356,chudniv,50.052,28.1175,11.23,69,34,6.19,UA,1682402093
357,tazovsky,67.4667,78.7,-2.58,92,100,4.56,RU,1682402094
358,izyaslav,50.1195,26.8213,10.56,79,89,5.52,UA,1682402094
359,acapulco de juarez,16.8634,-99.8901,25.3,79,17,1.1,MX,1682402094
360,olinda,-8.0089,-34.8553,23.85,88,75,1.03,BR,1682402094
361,kangaba,11.9333,-8.4167,27.18,28,23,1.38,ML,1682402095
362,fisterra,42.9049,-9.2629,15.42,91,100,5.51,ES,1682402095
363,riyadh,24.6877,46.7219,27.08,31,35,6.21,SA,1682401756
